"","Genedataset1.FC","Genedataset1.FDR","Genedataset2.FC","Genedataset2.FDR","Genedataset3.FC","Genedataset3.FDR","Genedataset4.FC","Genedataset4.FDR","Count"
"ABCA4","0.592745864482159","0.000110491112529192","0.636453907760761","0.0001907209728746","no value","no value","1.3888592023981","0.00133724307696017",-1
"ABCA5","0.526164582023939","0.01181418386794","0.688382825824093","0.289569747660356","no value","no value","0.848578349669168","0.0196183824949289",-2
"ABCA6","0.53553469989363","0.000122662153435189","no value","no value","no value","no value","1.19682211152639","0.085045441067885",0
"ABCA7","0.455966603330927","4.87189811482597e-09","183.76561207421","2.26965657854426e-05","no value","no value","0.868533618391541","0.257532869853246",0
"ABCA8","1.50697388373804","0.00188166993447912","1.14095004772856","0.0342869059913382","no value","no value","1.13588413035331","0.435481088363677",2
"ABCA9","1.16505525652147","0.000358480341537466","no value","no value","no value","no value","1.86477346236263","0.00152554249992176",2
"ABCB1","0.303085755255576","2.79531305306947e-13","0.357092880861638","0.27277633629726","4.14852471487013","0.000458809241678364","2.27483332955425","5.27520136843071e-05",1
"ABCB10","0.599635112046246","3.66162087886928e-06","Inf","0.0313066631922644","no value","no value","0.955342699307311","0.126765106007232",0
"ABCB11","1.02201122082986","0.777405516920019","no value","no value","no value","no value","0.880173217475143","0.0168027723712167",-1
"ABCB4","0.881736028876046","0.293989996136884","0.901297942821293","0.0174453206801904","0.917771770618385","0.0524936937617154","1.28804274785857","0.0197320272977357",-1
"ABCB5","0.746427717961249","0.00455306523674219","no value","no value","no value","no value","0.688722658141544","3.16813318570039e-06",-2
"ABCB6","1.06325882830087","5.28989745779451e-05","8.10807296876941","0.000380334046382264","no value","no value","3.77374558729765","7.57546558054606e-05",3
"ABCB7","0.819709199189367","0.54780419692101","39.0426991059588","1.45415180801293e-10","no value","no value","no value","no value",1
"ABCB8","0.591159008588483","0.000617021140375203","Inf","0.0176320021731715","no value","no value","0.989531675600549","0.587731945011078",0
"ABCB9","0.519440781408417","1.34320854257724e-05","Inf","0.118951830670528","no value","no value","0.919138612137783","0.105717982809128",-1
"ABCC1","0.260904453968757","0.000416798904760936","0.258944180027173","0.0402995726916443","no value","no value","1.1581153199063","0.171689323746248",-2
"ABCC10","1.13378194710694","0.092922583114982","no value","no value","no value","no value","1.00743193709357","0.521516101999135",1
"ABCC11","0.423367553841159","7.80419861119619e-12","0.550871389817991","7.1825576515723e-07","no value","no value","0.975605341566527","0.523270353083031",-2
"ABCC12","0.60074993190952","7.85900106760801e-06","no value","no value","no value","no value","no value","no value",-1
"ABCC13","0.617195766622689","5.72467422118605e-06","0.640590868832966","2.60530005519521e-10","no value","no value","0.978702266771887","0.0103449701001454",-3
"ABCC2","0.437778200854102","1.31458217114289e-08","no value","no value","0.951971705276961","0.204240109851826","0.980644115743519","0.0962788696956835",-2
"ABCC3","0.448146716103344","2.21882473448361e-06","1.13064299380994","0.706904572608701","no value","no value","0.759593563321952","0.000140566464793059",-2
"ABCC4","0.551929318724191","0.00591382704261924","0.52947216341254","0.153923604643004","no value","no value","1.00686022104448","0.774601989577092",-1
"ABCC5","0.421042756170215","5.94832582235965e-06","0.779069254882799","0.669171092372815","1.13278954133001","0.507982333769664","0.780169368256324","0.0119442468692537",-2
"ABCC6","0.679134303485924","5.0883605215228e-05","0.634212955496024","1.62613937341596e-07","no value","no value","0.927140868027419","0.215233233306482",-2
"ABCC6P1","no value","no value","no value","no value","no value","no value","0.844650149011125","0.000183037837411696",-1
"ABCC6P2","no value","no value","no value","no value","no value","no value","1.16154550016763","0.142226867436095",0
"ABCC8","0.800302380387809","0.0761155831341787","3.70770108584463","0.000107762538213431","no value","no value","0.762252977777673","4.30653859680017e-05",-1
"ABCC9","0.646885034584948","0.00048317987484446","no value","no value","no value","no value","1.05045887156264","0.386784690326631",-1
"ABCD1","0.667550489597705","0.346935173477337","3.70817873288797","0.000226945367354217","no value","no value","no value","no value",1
"ABCD2","0.659331667663511","0.0233589314458107","no value","no value","no value","no value","1.1515035020856","0.388735432584298",-1
"ABCD3","0.493243329065807","4.25454697208862e-05","0.314351169390339","0.278923930239038","no value","no value","0.713533351995821","1.48735002529916e-06",-2
"ABCD4","0.505496902418679","0.00239286818978387","0.430198024113408","0.413580134917053","no value","no value","0.823609064913829","0.000503627904815866",-2
"ABCE1","0.54220882128044","0.00916556338614007","2.21041606753935","0.0824210588276302","no value","no value","no value","no value",0
"ABCF1","0.357045885478106","0.000398337975997321","6.71405745656053","0.000363721641183709","no value","no value","0.975916662704225","0.541345764440425",0
"ABCF2","0.659557119985379","0.000114551776541742","0.672434247656409","0.879979354980837","no value","no value","1.02811128013832","0.955825892237113",-1
"ABCF3","0.390515379104065","0.00950989738637672","Inf","0.00717156245914525","no value","no value","0.996240509666183","0.6968007264125",0
"ABCG1","0.418076361073321","0.00055839038240537","no value","no value","no value","no value","1.02516392930192","0.931365174954277",-1
"ABCG2","0.511012647206222","0.000718804370786884","0.214395903574651","0.232572625367138","0.644726000716644","0.350641531205008","0.703247678550129","0.00753923596165403",-2
"ABCG4","0.566485045105701","0.000203850954852447","0.940070605946109","0.129037842504793","no value","no value","1.04238808637018","0.47217457878984",-1
"ABCG5","0.610072300598041","5.81393008235165e-05","0.722418097393492","2.83235509693376e-07","no value","no value","1.24169017010955","0.128077107327282",-2
"ABCG8","no value","no value","no value","no value","no value","no value","0.963573842714511","0.209920713456698",0
"ABHD1","0.675330679053508","0.0343036576123916","Inf","0.00767709400537015","no value","no value","0.587733452786463","2.11099525378618e-08",-1
"ABHD10","0.674151722645238","8.32396153299168e-05","1.14161138181528","0.801244197496009","no value","no value","0.713871363311937","0.00188488202155101",-2
"ABHD11","0.573655064871327","0.0017926402315255","0.942579244435993","1.51635242542154e-06","no value","no value","0.935444467210684","0.0421158865162065",-3
"ABHD12","no value","no value","no value","no value","no value","no value","0.721614087709708","7.4396661706865e-05",-1
"ABHD12B","no value","no value","no value","no value","no value","no value","0.993711942087218","0.749510000136438",0
"ABHD14A","0.518700229927278","8.51012075588918e-06","0.773269913161753","0.000175377616852873","no value","no value","1.3778140112344","0.0409833001812328",-1
"ABHD14B","no value","no value","no value","no value","no value","no value","1.03266942594853","0.806093305992619",0
"ABHD15","no value","no value","no value","no value","no value","no value","0.749494409290004","0.000139788493183363",-1
"ABHD2","0.746198841973852","0.000212424527015322","3.15209973070699","0.173853885021735","no value","no value","0.691018945769304","0.000166896929214897",-2
