"","Genedataset1.FC","Genedataset1.FDR","Genedataset2.FC","Genedataset2.FDR","Genedataset3.FC","Genedataset3.FDR","Genedataset4.FC","Genedataset4.FDR","Count"
"GRHL1","no value","no value","no value","no value","no value","no value","0.914141868641065","0.0259574732361008",-1
"GRHL2","no value","no value","no value","no value","no value","no value","0.442258830388856","2.46403503677996e-08",-1
"GRHL3","0.312953363611186","1.2513189271914e-09","0.161415524848805","0.0417017511793204","no value","no value","0.926827744887723","0.0833357167099984",-3
"GRHPR","0.706650488293468","0.000737272556971112","2.50154880020226","0.510926715567444","no value","no value","1.08610606186004","5.75851791174918e-05",0
"GRIA1","0.912390507134235","0.69399534548578","no value","no value","no value","no value","0.544372316535383","2.8976499562475e-06",-1
"GRIA2","1.89863679073465","0.0419870022037784","8.28263238154969","1.76352614071815e-10","no value","no value","0.854623464787777","0.00229911929803106",1
"GRIA3","0.862573647276556","0.441106561522166","no value","no value","no value","no value","no value","no value",0
"GRIA4","4.71564583436639","0.00447235521488796","6.69751955119524","5.4591652168909e-13","no value","no value","0.753657145528189","0.00102543584194036",1
"GRID1","no value","no value","no value","no value","no value","no value","1.39313565157203","0.00379820972432878",1
"GRID2","2.10461470527153","0.00156602806892926","2.14241705892697","0.00266095336953823","no value","no value","no value","no value",2
"GRID2IP","no value","no value","no value","no value","no value","no value","0.725206935943105","0.0053845553708138",-1
"GRIK1","2.88396783463346","0.0353213331240883","Inf","8.80183088246455e-10","no value","no value","1.75495157524001","0.00607871032557598",3
"GRIK2","0.706127944637419","0.421050978516362","1.75488703444039","0.000875158876399139","no value","no value","2.44590332565289","0.000123705386487969",2
"GRIK3","1.91503113550115","0.0366537519575515","4.76852598493435","3.71375728572672e-10","no value","no value","2.89827487850187","2.0383743993411e-05",3
"GRIK4","0.424860957869776","2.26689824282657e-06","0.562496552905006","0.011515118373233","no value","no value","0.900337124315853","0.0228533944427193",-3
"GRIK5","0.681501316059798","0.000140974592704264","0.670101606622867","1.19118393194806e-16","no value","no value","1.21226057844731","0.238275492052814",-2
"GRIN1","1.01964616250698","0.911819892481745","145.922408938018","0.000360557755669844","no value","no value","0.904108780119291","0.404228578766631",1
"GRIN2A","1.87441772156493","0.422260388887679","3.99129121105034","4.63269113453097e-05","no value","no value","1.35027598951434","0.280666034951099",1
"GRIN2B","2.28553917232051","0.0532236764634987","1.88488189067553","0.0170040233054393","no value","no value","0.808535024388274","0.000883881670899375",1
"GRIN2C","1.3380016547883","0.507802879189146","1.97141966565061","0.0198171018294793","no value","no value","1.08326613044259","0.361481061348877",1
"GRIN2D","1.37233534916111","0.318487108174772","0.908638294299889","0.72717888959553","no value","no value","0.890084447572562","0.356206280323035",0
"GRIN3A","0.849427905589455","0.977086350621042","201.880201798813","3.27920521219981e-07","no value","no value","3.92440306569327","0.00423777412540397",2
"GRIN3B","no value","no value","no value","no value","no value","no value","0.956285642205578","0.183822554375961",0
"GRINA","no value","no value","no value","no value","no value","no value","0.979996573214351","0.00413578467793637",-1
"GRINL1A","no value","no value","no value","no value","no value","no value","1.04027182706736","0.524036225238237",0
"GRIP1","0.554484050331647","0.000723564588170987","0.593218910281659","9.17463504633426e-05","no value","no value","0.899389562798405","0.226423411196479",-2
"GRIP2","no value","no value","no value","no value","no value","no value","0.976136848398508","0.229439332534066",0
"GRK1","0.778425750134297","0.0205683868447531","0.855513738674509","1.97151044618827e-06","no value","no value","no value","no value",-2
"GRK4","0.714425073232909","0.00282221638120056","Inf","0.00421598776800214","no value","no value","2.13044337322646","0.00513040122164687",1
"GRK5","0.711303322317016","0.00200343973747479","Inf","0.0120616968637045","no value","no value","1.04288321344901","0.14885564403267",0
"GRK6","0.609933110051477","0.000143766704277756","1.86522843501092","0.378580123489693","no value","no value","1.01402475572977","0.26120230677502",-1
"GRK7","0.939443936464407","0.0523818124117095","0.912711281996906","0.00365935435807327","no value","no value","4.84014991904205","1.80735017033655e-05",-1
"GRLF1","1.09651115272513","0.0716854736943464","no value","no value","no value","no value","0.992180132861355","0.10415458426805",1
"GRM1","3.04665478792456","0.00302623378554449","6.0614554224292","2.53389293029409e-10","no value","no value","0.840042309086322","0.072831577747331",1
"GRM2","0.910802292760296","0.0572494902134196","0.857852279384757","1.01577167042482e-13","no value","no value","1.09577410288424","0.667597908701617",-2
"GRM3","0.753824445984624","0.0567037529949129","4.75773446465355","0.00182867339652089","no value","no value","0.726691636421042","0.00141047848132053",-1
"GRM4","0.460403867108051","7.7296876552684e-08","0.451512953735475","4.87013470058921e-13","no value","no value","0.757018202961746","9.98422972445314e-06",-3
"GRM5","0.472373665508578","1.15622662523838e-06","no value","no value","no value","no value","0.913016631154999","0.0132934941941254",-2
"GRM6","2.25636725933815","0.0216883477489645","4.14327757473697","5.83042280963994e-14","no value","no value","6.01350338979403","4.73878120348514e-06",3
"GRM7","1.46639499757284","0.152059245280615","5.1086144843908","1.7391874068304e-06","no value","no value","0.653422509579466","1.72014176000938e-05",0
"GRM8","0.711219768266264","0.00491058859841715","no value","no value","no value","no value","1.01470322427197","0.638550740781499",-1
"GRN","0.502883640399413","0.0026122444068909","1.091012735692","0.915256837350225","no value","no value","1.12010291688038","0.002447862561851",0
"GRP","1.98771055106927","0.0151273134045721","2.28345662449962","6.76519445874843e-05","no value","no value","4.10746275181901","0.00131742795941704",3
"GRPEL1","0.347905994259295","0.000160857987496938","1.35615849949775","0.710004439678206","no value","no value","1.18565653925882","0.0238833802066564",0
"GRPEL2","0.611956657683935","0.0382195909529141","0.139717396294989","0.320842588706148","no value","no value","1.00424890870476","0.586365027857754",-1
"GRPR","0.547609958934023","0.0130899983165604","0.718606786213642","0.791028983701991","0.688819283374709","0.0179976284955759","no value","no value",-2
"GRRP1","no value","no value","no value","no value","no value","no value","1.19349939375517","1.31662407555154e-06",1
